TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > Power factor (Q1);IOITSecure447 > Power factor (Q2);IOITSecure447 > Power factor (Q3);IOITSecure447 > Avg power factor;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power;IOITSecure447 > R-Ph Voltage THD;IOITSecure447 > Y-Ph Voltage THD;IOITSecure447 > B-Ph Voltage THD;IOITSecure447 > R-Ph Current THD;IOITSecure447 > Y-Ph Current THD;IOITSecure447 > B-Ph Current THD
24/12/2023 00:01:40;239.87;241.81;241.54;241.08;416.70;418.45;417.24;19.94;14.30;17.34;6.29;19.85;14.32;17.30;2.63;-0.92;0.35;0.99;-1.00;1.00;1.00;4.68;3.40;4.11;12.18;0.62;-0.23;0.07;0.50;4.81;3.46;4.18;12.37;3.69;4.42;4.18;84.28;81.79;73.37
24/12/2023 00:01:50;239.88;241.71;241.60;241.09;416.72;418.54;417.50;19.93;14.33;17.16;6.09;19.79;14.32;17.30;2.63;-0.92;0.35;0.99;-1.00;1.00;1.00;4.68;3.40;4.11;12.18;0.62;-0.23;0.07;0.50;4.81;3.46;4.18;12.37;3.69;4.42;4.18;84.28;81.79;73.37
24/12/2023 00:02:00;239.88;241.71;241.60;241.09;416.72;418.54;417.50;19.93;14.33;17.16;6.09;19.79;14.25;17.19;2.67;-0.88;0.34;0.99;-1.00;1.00;1.00;4.68;3.40;4.13;12.21;0.62;-0.21;0.08;0.48;4.80;3.45;4.19;12.42;3.75;4.43;4.14;85.99;81.89;73.10
24/12/2023 00:02:10;240.15;241.48;241.27;240.98;416.67;418.04;417.44;19.98;14.28;17.15;6.09;19.82;14.25;17.23;2.60;-0.87;0.38;0.99;-1.00;1.00;1.00;4.68;3.40;4.13;12.21;0.62;-0.21;0.08;0.48;4.80;3.45;4.19;12.42;3.75;4.43;4.14;85.99;81.89;73.10
24/12/2023 00:02:20;240.15;241.48;241.27;240.98;416.67;418.04;417.44;19.98;14.28;17.15;6.09;19.82;14.25;17.23;2.60;-0.87;0.38;0.99;-1.00;1.00;1.00;4.69;3.40;4.12;12.18;0.63;-0.22;0.09;0.48;4.79;3.45;4.18;12.40;3.55;4.36;4.02;82.41;81.98;74.21
24/12/2023 00:02:30;240.23;241.52;241.40;241.04;416.75;418.12;417.53;19.91;14.29;17.27;6.20;19.78;14.25;17.26;2.62;-0.87;0.35;0.99;-1.00;1.00;1.00;4.69;3.40;4.12;12.18;0.63;-0.22;0.09;0.48;4.79;3.45;4.18;12.40;3.55;4.36;4.02;82.41;81.98;74.21
24/12/2023 00:02:40;240.23;241.52;241.40;241.04;416.75;418.12;417.53;19.91;14.29;17.27;6.20;19.78;14.25;17.26;2.62;-0.87;0.35;0.99;-1.00;1.00;1.00;4.69;3.39;4.11;12.21;0.63;-0.21;0.09;0.50;4.79;3.45;4.17;12.35;3.50;4.33;3.96;82.17;82.10;73.89
24/12/2023 00:02:50;240.28;241.65;241.50;241.14;416.86;418.41;417.61;20.09;14.27;17.29;6.18;19.78;14.22;17.21;2.62;-0.88;0.36;0.99;-1.00;1.00;1.00;4.68;3.38;4.11;12.17;0.63;-0.21;0.09;0.50;4.79;3.45;4.17;12.35;3.50;4.33;3.96;82.17;82.10;73.89
24/12/2023 00:03:00;240.28;241.65;241.50;241.14;416.86;418.41;417.61;20.09;14.27;17.29;6.18;19.78;14.22;17.21;2.62;-0.88;0.36;0.99;-1.00;1.00;1.00;4.68;3.38;4.11;12.17;0.63;-0.21;0.09;0.51;4.80;3.43;4.13;12.33;3.52;4.35;4.00;85.47;82.27;73.71
24/12/2023 00:03:10;240.07;241.50;241.37;240.98;416.52;418.13;417.42;19.98;14.27;17.29;6.19;19.77;14.27;17.35;2.68;-0.87;0.37;0.99;-1.00;1.00;1.00;4.67;3.39;4.09;12.17;0.64;-0.22;0.09;0.52;4.79;3.45;4.13;12.33;3.52;4.35;4.00;85.47;82.27;73.71
24/12/2023 00:03:20;240.07;241.50;241.37;240.98;416.52;418.13;417.42;19.98;14.27;17.29;6.19;19.77;14.27;17.35;2.68;-0.87;0.37;0.99;-1.00;1.00;1.00;4.67;3.39;4.09;12.17;0.64;-0.22;0.09;0.52;4.79;3.45;4.16;12.39;3.50;4.34;3.97;85.91;81.24;73.72
24/12/2023 00:03:30;240.11;241.47;241.29;240.97;416.61;418.08;417.49;19.95;14.29;17.25;6.25;19.81;14.22;17.30;2.69;-0.89;0.33;0.99;-1.00;1.00;1.00;4.68;3.39;4.09;12.16;0.64;-0.21;0.09;0.49;4.79;3.45;4.17;12.37;3.52;4.31;3.97;85.91;81.24;73.72
24/12/2023 00:03:40;240.11;241.47;241.29;240.97;416.61;418.08;417.49;19.95;14.29;17.25;6.25;19.81;14.22;17.30;2.69;-0.89;0.33;0.99;-1.00;1.00;1.00;4.68;3.39;4.09;12.16;0.64;-0.21;0.09;0.49;4.79;3.45;4.17;12.37;3.52;4.31;3.97;85.55;81.68;73.51
24/12/2023 00:03:50;240.15;241.53;241.29;241.00;416.73;418.04;417.50;19.93;14.31;17.29;6.10;19.81;14.28;17.14;2.63;-0.89;0.39;0.99;-1.00;1.00;1.00;4.69;3.40;4.11;12.16;0.63;-0.20;0.09;0.52;4.82;3.45;4.17;12.38;3.53;4.31;3.99;82.39;82.19;73.18
24/12/2023 00:04:00;240.17;241.47;241.30;240.97;416.61;418.00;417.50;19.93;14.31;17.29;6.10;19.81;14.28;17.14;2.63;-0.89;0.39;0.99;-1.00;1.00;1.00;4.69;3.40;4.11;12.16;0.63;-0.20;0.09;0.52;4.82;3.45;4.17;12.38;3.53;4.31;3.99;82.39;82.19;73.18
24/12/2023 00:04:10;240.17;241.47;241.30;240.97;416.61;418.00;417.53;20.08;14.29;17.21;6.19;19.81;14.20;17.19;2.64;-0.91;0.36;0.99;-1.00;1.00;1.00;4.67;3.39;4.11;12.18;0.63;-0.22;0.09;0.52;4.81;3.45;4.18;12.40;3.53;4.33;3.98;85.29;82.02;73.92
24/12/2023 00:04:20;240.38;241.70;241.47;241.18;416.99;418.34;417.73;19.97;14.35;17.27;6.08;19.81;14.20;17.19;2.64;-0.91;0.36;0.99;-1.00;1.00;1.00;4.67;3.39;4.11;12.18;0.63;-0.22;0.09;0.52;4.81;3.45;4.18;12.40;3.53;4.33;3.98;85.29;82.02;73.92
24/12/2023 00:04:30;240.38;241.70;241.47;241.18;416.99;418.34;417.73;19.97;14.35;17.27;6.08;19.81;14.21;17.18;2.73;-0.92;0.38;0.99;-1.00;1.00;1.00;4.67;3.41;4.11;12.17;0.63;-0.21;0.08;0.51;4.80;3.45;4.18;12.42;3.51;4.35;3.99;86.46;82.77;74.34
24/12/2023 00:04:40;240.46;241.87;241.57;241.32;417.36;418.67;417.91;19.93;14.30;17.25;6.23;19.76;14.20;17.26;2.62;-0.82;0.38;0.99;-1.00;1.00;1.00;4.67;3.41;4.11;12.17;0.63;-0.21;0.08;0.51;4.80;3.45;4.18;12.42;3.51;4.35;3.99;86.46;82.77;74.34
24/12/2023 00:04:50;240.46;241.87;241.57;241.32;417.36;418.67;417.91;19.93;14.30;17.25;6.23;19.76;14.20;17.26;2.62;-0.82;0.36;0.99;-1.00;1.00;1.00;4.68;3.40;4.13;12.21;0.63;-0.22;0.08;0.50;4.79;3.46;4.17;12.35;3.63;4.32;4.00;85.13;82.44;74.04
24/12/2023 00:05:00;240.54;241.92;241.63;241.30;417.28;418.60;417.79;21.83;14.31;17.30;8.13;20.93;14.30;17.26;4.22;-0.88;0.37;0.98;-1.00;1.00;1.00;4.68;3.40;4.13;12.21;0.63;-0.22;0.08;0.50;4.79;3.46;4.17;12.35;3.63;4.32;4.00;85.13;82.44;74.04
24/12/2023 00:05:10;240.54;241.92;241.63;241.30;417.28;418.60;417.79;21.83;14.31;17.30;8.13;20.93;14.30;17.26;4.22;-0.88;0.37;0.98;-1.00;1.00;1.00;4.97;3.40;4.11;12.49;1.02;-0.21;0.10;0.90;5.15;3.46;4.15;12.68;3.53;4.31;3.97;76.83;81.80;73.51
24/12/2023 00:05:20;239.89;241.62;241.27;240.92;416.52;418.08;417.43;21.55;14.33;17.28;8.22;21.16;14.27;17.26;4.12;-0.89;0.36;0.98;-1.00;1.00;1.00;4.98;3.39;4.08;12.47;1.02;-0.21;0.10;0.90;5.15;3.46;4.15;12.68;3.53;4.31;3.97;76.83;81.80;73.51
24/12/2023 00:05:30;239.89;241.62;241.27;240.92;416.52;418.08;417.43;21.55;14.33;17.28;8.22;21.16;14.27;17.26;4.12;-0.89;0.36;0.98;-1.00;1.00;1.00;4.98;3.39;4.08;12.47;1.02;-0.21;0.08;0.88;5.16;3.46;4.16;12.68;3.51;4.29;4.01;76.39;81.51;73.61
24/12/2023 00:05:40;239.95;241.74;241.24;240.91;416.49;418.03;417.33;21.31;14.24;17.25;8.19;21.03;14.26;17.17;4.22;-0.87;0.37;0.98;-1.00;1.00;1.00;4.97;3.40;4.10;12.43;1.00;-0.21;0.09;0.89;5.16;3.46;4.16;12.68;3.51;4.29;4.01;76.39;81.51;73.61
24/12/2023 00:05:50;239.95;241.74;241.24;240.91;416.49;418.03;417.33;21.31;14.24;17.25;8.19;21.03;14.26;17.17;4.22;-0.87;0.37;0.98;-1.00;1.00;1.00;4.97;3.40;4.10;12.43;1.00;-0.21;0.09;0.89;5.16;3.45;4.16;12.71;3.51;4.18;4.01;76.54;82.16;73.86
24/12/2023 00:06:00;240.25;242.10;241.58;241.32;417.26;418.71;417.93;21.37;14.30;17.12;8.01;20.99;14.30;17.13;4.31;-0.89;0.39;0.98;-1.00;1.00;1.00;4.96;3.40;4.10;12.47;1.02;-0.22;0.09;0.89;5.14;3.47;4.17;12.69;3.51;4.18;4.01;76.54;82.16;73.86
24/12/2023 00:06:10;240.25;242.10;241.58;241.32;417.26;418.71;417.93;21.37;14.30;17.12;8.01;20.99;14.30;17.13;4.31;-0.89;0.39;0.98;-1.00;1.00;1.00;4.96;3.40;4.10;12.47;1.02;-0.22;0.09;0.89;5.14;3.47;4.17;12.69;3.61;4.34;4.03;79.20;81.72;73.79
24/12/2023 00:06:20;240.43;242.32;241.81;241.52;417.69;419.15;418.25;21.28;14.28;17.16;8.07;20.95;14.26;17.20;4.20;-0.87;0.36;0.98;-1.00;1.00;1.00;4.98;3.40;4.11;12.47;1.02;-0.21;0.08;0.88;5.14;3.46;4.18;12.69;3.55;4.35;4.02;79.22;81.84;73.79
24/12/2023 00:06:30;240.41;242.29;241.81;241.52;417.69;419.15;418.25;21.28;14.28;17.16;8.07;20.95;14.26;17.20;4.20;-0.87;0.36;0.98;-1.00;1.00;1.00;4.98;3.40;4.11;12.47;1.02;-0.21;0.08;0.88;5.14;3.46;4.18;12.69;3.55;4.35;4.02;79.22;81.84;74.94
24/12/2023 00:06:40;240.41;242.29;241.74;241.48;417.58;419.04;418.16;21.42;14.27;17.19;8.14;20.98;14.24;17.26;4.21;-0.86;0.39;0.98;-1.00;1.00;1.00;4.97;3.40;4.12;12.49;1.04;-0.21;0.09;0.90;5.15;3.47;4.16;12.65;3.61;4.44;4.02;79.57;81.55;74.10
24/12/2023 00:06:50;240.46;242.39;241.90;241.59;417.63;419.26;418.22;21.36;14.27;17.19;8.14;20.98;14.24;17.26;4.21;-0.86;0.39;0.98;-1.00;1.00;1.00;4.97;3.40;4.12;12.49;1.04;-0.21;0.09;0.90;5.15;3.47;4.16;12.65;3.61;4.44;4.02;79.57;81.55;74.10
24/12/2023 00:07:00;240.46;242.39;241.90;241.59;417.63;419.26;418.22;21.36;14.29;17.21;8.23;20.96;14.25;17.24;4.24;-0.89;0.33;0.98;-1.00;1.00;1.00;4.95;3.41;4.12;12.48;1.01;-0.21;0.09;0.91;5.16;3.45;4.13;12.66;3.52;4.34;4.00;76.61;82.30;74.25
24/12/2023 00:07:10;240.51;242.39;241.92;241.61;417.75;419.39;418.40;21.49;14.26;17.23;8.20;20.97;14.24;17.24;4.24;-0.89;0.33;0.98;-1.00;1.00;1.00;4.95;3.41;4.12;12.48;1.01;-0.21;0.09;0.91;5.16;3.45;4.13;12.66;3.52;4.34;4.00;76.61;82.30;74.25
24/12/2023 00:07:20;240.51;242.39;241.92;241.61;417.75;419.39;418.40;21.49;14.26;17.23;8.20;20.97;14.24;17.30;4.32;-0.89;0.37;0.98;-1.00;1.00;1.00;4.96;3.42;4.10;12.42;1.02;-0.21;0.13;0.89;5.15;3.47;4.16;12.65;3.53;4.39;3.98;76.53;81.70;73.94
24/12/2023 00:07:30;240.17;242.00;241.48;241.16;417.03;418.50;417.56;21.41;14.29;17.36;8.21;20.99;14.25;17.37;4.22;-0.88;0.36;0.98;-1.00;1.00;1.00;4.96;3.42;4.10;12.42;1.02;-0.21;0.13;0.89;5.15;3.47;4.16;12.65;3.53;4.39;3.98;76.53;81.70;73.94
24/12/2023 00:07:40;240.17;242.00;241.48;241.16;417.03;418.50;417.56;21.41;14.29;17.36;8.21;20.99;14.25;17.37;4.22;-0.88;0.36;0.98;-1.00;1.00;1.00;4.97;3.40;4.10;12.47;1.03;-0.21;0.09;0.89;5.14;3.47;4.17;12.68;3.53;4.39;4.03;79.00;82.28;73.47
24/12/2023 00:07:50;240.15;241.83;241.14;241.02;416.86;418.09;417.38;21.46;14.31;17.32;7.99;20.93;14.32;17.10;4.21;-0.93;0.39;0.98;-1.00;1.00;1.00;4.98;3.39;4.10;12.47;1.03;-0.21;0.09;0.89;5.14;3.47;4.17;12.68;3.53;4.39;4.03;79.00;82.28;73.47
24/12/2023 00:08:00;240.15;241.83;241.14;241.02;416.86;418.09;417.38;21.46;14.31;17.32;7.99;20.93;14.32;17.10;4.21;-0.93;0.39;0.98;-1.00;1.00;1.00;4.98;3.39;4.10;12.46;1.04;-0.22;0.08;0.90;5.13;3.47;4.16;12.70;3.50;4.36;4.04;82.69;82.00;73.56
24/12/2023 00:08:10;240.18;241.47;241.04;240.90;416.60;417.85;417.16;20.01;14.25;17.10;6.18;19.83;14.29;17.20;2.68;-0.87;0.41;0.99;-1.00;1.00;1.00;4.68;3.38;4.10;12.16;0.64;-0.21;0.09;0.52;5.13;3.47;4.16;12.70;3.50;4.36;4.04;82.69;82.00;73.56
24/12/2023 00:08:20;240.18;241.47;241.04;240.90;416.60;417.85;417.16;20.01;14.25;17.10;6.18;19.83;14.29;17.20;2.68;-0.87;0.41;0.99;-1.00;1.00;1.00;4.68;3.38;4.10;12.16;0.64;-0.21;0.09;0.52;4.80;3.46;4.17;12.39;3.70;4.40;4.01;81.72;81.72;73.91
24/12/2023 00:08:30;240.19;241.61;241.08;240.97;416.87;418.13;417.22;19.95;14.29;17.19;6.12;19.76;14.28;17.25;2.78;-0.90;0.36;0.99;-1.00;1.00;1.00;4.68;3.38;4.10;12.17;0.63;-0.22;0.09;0.51;4.78;3.45;4.17;12.36;3.55;4.40;4.01;81.72;81.72;73.91
24/12/2023 00:08:40;240.19;241.61;241.08;240.97;416.87;418.13;417.22;19.95;14.29;17.19;6.12;19.76;14.28;17.25;2.78;-0.90;0.36;0.99;-1.00;1.00;1.00;4.68;3.38;4.10;12.17;0.63;-0.22;0.09;0.51;4.78;3.45;4.17;12.36;3.55;4.37;4.01;81.92;81.63;73.89
24/12/2023 00:08:50;240.38;241.78;241.29;241.15;417.17;418.45;417.57;19.89;14.28;17.20;6.10;19.77;14.27;17.29;2.63;-0.90;0.34;0.99;-1.00;1.00;1.00;4.71;3.41;4.11;12.16;0.63;-0.22;0.09;0.52;4.80;3.46;4.15;12.38;3.55;4.34;4.00;85.45;81.72;73.81
24/12/2023 00:09:00;240.40;241.73;241.25;241.13;417.17;418.45;417.57;19.89;14.28;17.20;6.10;19.77;14.27;17.29;2.63;-0.90;0.34;0.99;-1.00;1.00;1.00;4.71;3.41;4.11;12.16;0.63;-0.22;0.09;0.52;4.80;3.46;4.15;12.38;3.55;4.34;4.00;85.45;81.72;73.81
24/12/2023 00:09:10;240.40;241.73;241.25;241.13;417.12;418.32;417.54;20.03;14.30;17.27;6.24;19.83;14.24;17.26;2.64;-0.85;0.36;0.99;-1.00;1.00;1.00;4.68;3.40;4.11;12.19;0.66;-0.22;0.09;0.53;4.78;3.45;4.13;12.36;3.56;4.33;4.01;85.44;82.03;73.94
24/12/2023 00:09:20;240.12;241.44;240.99;240.85;416.62;417.83;417.10;19.89;14.30;17.27;6.24;19.83;14.24;17.26;2.64;-0.85;0.36;0.99;-1.00;1.00;1.00;4.68;3.40;4.11;12.19;0.66;-0.22;0.09;0.53;4.78;3.45;4.13;12.36;3.56;4.33;4.01;85.44;82.03;73.94
24/12/2023 00:09:30;240.12;241.44;240.99;240.85;416.62;417.83;417.10;19.89;14.33;17.32;6.33;19.80;14.16;17.31;2.71;-0.78;0.38;0.99;-1.00;1.00;1.00;4.66;3.39;4.07;12.14;0.63;-0.20;0.10;0.56;4.82;3.45;4.15;12.38;3.59;4.39;4.01;81.88;81.77;73.06
24/12/2023 00:09:40;240.21;241.51;241.09;240.94;416.75;418.03;417.21;20.01;14.30;17.33;6.23;19.77;14.16;17.31;2.71;-0.78;0.38;0.99;-1.00;1.00;1.00;4.66;3.39;4.07;12.14;0.63;-0.20;0.10;0.56;4.82;3.45;4.15;12.38;3.59;4.39;4.01;81.88;81.77;73.06
24/12/2023 00:09:50;240.21;241.51;241.09;240.94;416.75;418.03;417.21;20.01;14.30;17.33;6.23;19.77;14.26;17.29;2.71;-0.90;0.41;0.99;-1.00;1.00;1.00;4.67;3.39;4.10;12.16;0.62;-0.21;0.09;0.52;4.82;3.45;4.16;12.38;3.54;4.39;4.04;81.73;81.66;73.36
24/12/2023 00:10:00;240.14;241.49;240.99;240.91;416.81;417.94;417.07;20.02;14.26;17.29;6.11;19.86;14.34;17.12;2.66;-0.81;0.43;0.99;-1.00;1.00;1.00;4.67;3.39;4.10;12.16;0.62;-0.21;0.09;0.52;4.82;3.45;4.16;12.38;3.54;4.39;4.04;81.73;81.66;73.36
24/12/2023 00:10:10;240.14;241.49;240.99;240.91;416.81;417.94;417.07;20.02;14.26;17.29;6.11;19.86;14.34;17.12;2.66;-0.81;0.43;0.99;-1.00;1.00;1.00;4.68;3.39;4.10;12.17;0.64;-0.23;0.09;0.51;4.80;3.43;4.15;12.35;3.55;4.36;4.02;81.03;81.97;73.45
24/12/2023 00:10:20;240.04;241.29;240.82;240.72;416.53;417.64;416.96;20.04;14.31;17.22;6.12;19.82;14.25;17.20;2.71;-0.90;0.40;0.99;-1.00;1.00;1.00;4.67;3.39;4.10;12.17;0.64;-0.23;0.09;0.51;4.80;3.43;4.15;12.35;3.55;4.36;4.02;81.03;81.97;73.45
24/12/2023 00:10:30;240.04;241.29;240.82;240.72;416.53;417.64;416.96;20.04;14.31;17.22;6.12;19.82;14.25;17.20;2.71;-0.90;0.40;0.99;-1.00;1.00;1.00;4.67;3.39;4.11;12.18;0.64;-0.23;0.10;0.57;4.80;3.45;4.18;12.39;3.55;4.34;4.00;84.89;81.83;73.81
24/12/2023 00:10:40;240.19;241.46;240.92;240.86;416.71;417.78;417.23;20.07;14.33;17.25;6.15;19.79;14.28;17.30;2.66;-0.93;0.37;0.99;-1.00;1.00;1.00;4.70;3.39;4.11;12.20;0.65;-0.20;0.10;0.57;4.80;3.45;4.18;12.39;3.55;4.34;4.00;84.89;81.83;73.81
24/12/2023 00:10:50;240.19;241.46;240.92;240.86;416.71;417.78;417.23;20.07;14.33;17.25;6.15;19.79;14.28;17.30;2.66;-0.93;0.37;0.99;-1.00;1.00;1.00;4.70;3.39;4.11;12.20;0.65;-0.20;0.09;0.54;4.82;3.46;4.18;12.34;3.52;4.38;4.00;85.33;81.95;73.51
24/12/2023 00:11:00;240.42;241.65;241.12;241.04;417.06;418.07;417.38;20.03;14.33;17.31;6.21;19.87;14.24;17.31;2.75;-0.88;0.37;0.99;-1.00;1.00;1.00;4.68;3.39;4.12;12.20;0.65;-0.21;0.09;0.51;4.77;3.46;4.13;12.34;3.52;4.38;4.00;85.33;81.95;73.51
24/12/2023 00:11:10;240.42;241.65;241.12;241.04;417.06;418.07;417.38;20.03;14.33;17.31;6.21;19.87;14.24;17.31;2.75;-0.88;0.37;0.99;-1.00;1.00;1.00;4.68;3.39;4.12;12.20;0.65;-0.21;0.09;0.51;4.77;3.46;4.13;12.37;3.57;4.34;4.01;82.16;82.13;73.76
24/12/2023 00:11:20;240.39;241.66;241.03;240.97;416.91;417.97;417.28;19.90;14.26;17.33;6.24;19.79;14.28;17.37;2.60;-0.87;0.39;0.99;-1.00;1.00;1.00;4.68;3.39;4.12;12.19;0.63;-0.20;0.09;0.51;4.79;3.45;4.15;12.36;3.51;4.30;3.96;82.16;82.13;73.76
24/12/2023 00:11:30;240.18;241.66;241.03;240.97;416.91;417.97;417.28;19.90;14.26;17.33;6.24;19.79;14.28;17.37;2.60;-0.87;0.39;0.99;-1.00;1.00;1.00;4.68;3.39;4.12;12.19;0.63;-0.20;0.09;0.51;4.79;3.45;4.15;12.36;3.51;4.30;3.96;82.25;81.82;73.75
24/12/2023 00:11:40;240.18;241.47;241.00;240.94;416.75;418.01;417.19;19.93;14.35;17.28;6.07;19.75;14.25;17.32;2.59;-0.92;0.36;0.99;-1.00;1.00;1.00;4.66;3.40;4.08;12.16;0.64;-0.22;0.09;0.50;4.80;3.46;4.16;12.35;3.54;4.31;3.99;85.10;82.10;73.51
24/12/2023 00:11:50;240.01;241.37;240.85;240.74;416.55;418.01;417.19;19.93;14.35;17.28;6.07;19.75;14.25;17.32;2.59;-0.92;0.36;0.99;-1.00;1.00;1.00;4.66;3.40;4.08;12.16;0.64;-0.22;0.09;0.50;4.80;3.46;4.16;12.35;3.54;4.31;3.99;85.10;82.10;73.51
